maincat;deepest_cat;url_name;cat_id
Meubels;Bankstellen;/meubilair_389369/;9000011
Meubels;Loveseats;/meubilair_389369_389525/;9000012
Meubels;Driezitsbanken;/meubilair_389369_389401/;9000015
Meubels;Tweezitsbanken;/meubilair_389369_389400/;9000016
Meubels;Hoekbanken;/meubilair_389369_389399/;9000017
Meubels;Kasten;/meubilair_389371/;9000018
Meubels;Commodes;/meubilair_389371_389499/;9000020
Meubels;TV-meubels;/meubilair_389371_389498/;9000022
Meubels;Vitrinekasten;/meubilair_389371_389497/;9000023
Meubels;Keukentrolleys;/meubilair_389371_389475/;9000024
Meubels;Dressoirs;/meubilair_389371_389474/;9000025
Meubels;Kledingkasten;/meubilair_389371_389473/;9000026
Meubels;Wandkasten;/meubilair_389371_389502/;9000027
Meubels;Boekenkasten;/meubilair_389371_389503/;9000028
Meubels;Tafels;/meubilair_389373/;9000029
Meubels;Klaptafels;/meubilair_389373_389529/;9000030
Meubels;Bartafels;/meubilair_389373_389528/;9000031
Meubels;Bijzettafels;/meubilair_389373_389404/;9000032
Meubels;Salontafels;/meubilair_389373_389403/;9000036
Meubels;Eettafels;/meubilair_389373_389402/;9000040
Meubels;Stoelen;/meubilair_389370/;9000047
Meubels;Matrassen;/meubilair_390027/;9000048
Meubels;Bedden;/meubilair_389374/;9000050
Meubels;Klapstoelen;/meubilair_389370_389521/;9000060
Meubels;Ligbedden;/meubilair_389370_389520/;9000061
Meubels;Schommelstoelen;/meubilair_389370_389519/;9000062
Meubels;Krukken;/meubilair_389370_389518/;9000063
Meubels;Fauteuils;/meubilair_389370_389517/;9000064
Meubels;Bureaustoelen;/meubilair_389370_389410/;9000065
Meubels;Eetkamerstoelen;/meubilair_389370_389409/;9000066
Meubels;Logeerbedden;/meubilair_389374_389512/;9000067
Meubels;Boxsprings;/meubilair_389374_389511/;9000068
Meubels;Futonbedden;/meubilair_389374_389510/;9000069
Meubels;Waterbedden;/meubilair_389374_389509/;9000070
Meubels;Wiegjes;/meubilair_389374_389508/;9000071
Meubels;Stapelbedden;/meubilair_389374_389505/;9000074
Meubels;Ledikantjes;/meubilair_389374_389504/;9000075
Meubels;Vierzitsbanken;/meubilair_389369_393451/;9000076
Meubels;Slaapbanken;/meubilair_389369_393453/;9000077
Meubels;Kinderstoelen;/meubilair_389370_393682/;9000078
Meubels;Statafels;/meubilair_389373_393688/;9000082
Meubels;Tuintafels;/meubilair_389373_393687/;9000083
Meubels;Voorraadkasten;/meubilair_389371_393656/;9000084
Meubels;Archiefkasten;/meubilair_389371_393660/;9000085
Meubels;Opbergkisten;/meubilair_389371_393658/;9000086
Meubels;Nachtkastjes;/meubilair_389371_393657/;9000087
Meubels;Spiegelkasten;/meubilair_389371_393655/;9000088
Meubels;Latex matrassen;/meubilair_390027_393669/;9000089
Meubels;Koudschuim matrassen;/meubilair_390027_393666/;9000090
