account,groep,ronde,categorie,campagne,campaign_id,ad_group_id,oud_cat_id,nieuw_cat_id,status_na_15sep,kosten_dec24_nov25,omzet_dec24_nov25,kliks_dec24_nov25,laatste_uitgave_voor_ingreep
DMA BE,gepauzeerd,export 90,Cyclocross fietsen,PLA/Cyclocross fietsen_a,21113893103,,9005018,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Cyclocross fietsen,PLA/Cyclocross fietsen_b,21107100213,,9005018,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Cyclocross fietsen,PLA/Cyclocross fietsen_c,21107100231,,9005018,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Kleefrollers,PLA/Kleefrollers_a,21113992997,,9003404,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Kleefrollers,PLA/Kleefrollers_b,21113992931,,9003404,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Kleefrollers,PLA/Kleefrollers_c,21113993033,,9003404,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Letterbakken,PLA/Letterbakken_a,21117548626,,9003338,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Letterbakken,PLA/Letterbakken_b,21107395884,,9003338,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Letterbakken,PLA/Letterbakken_c,21117548857,,9003338,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Ligfietsen,PLA/Ligfietsen_a,21107397030,,9001190,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Ligfietsen,PLA/Ligfietsen_b,21117550291,,9001190,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Ligfietsen,PLA/Ligfietsen_c,21107397240,,9001190,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Moederfietsen,PLA/Moederfietsen_a,21114194534,,9003456,,PAUSED,0.0,0.0,0,2024-06
DMA BE,gepauzeerd,export 90,Moederfietsen,PLA/Moederfietsen_b,21107409549,,9003456,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Moederfietsen,PLA/Moederfietsen_c,21114195056,,9003456,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Opslag voor speeltjes,PLA/Opslag voor speeltjes_a,21117581227,,9002666,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Opslag voor speeltjes,PLA/Opslag voor speeltjes_b,21107427792,,9002666,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Opslag voor speeltjes,PLA/Opslag voor speeltjes_c,21117581650,,9002666,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Plasma TV's,PLA/Plasma TV's_a,21107440758,,9005293,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Plasma TV's,PLA/Plasma TV's_b,21117596803,,9005293,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Plasma TV's,PLA/Plasma TV's_c,21114227249,,9005293,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Tandems,PLA/Tandems_a,21114516683,,9001185,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Tandems,PLA/Tandems_b,21107740248,,9001185,,PAUSED,0.0,0.0,0,nooit
DMA BE,gepauzeerd,export 90,Tandems,PLA/Tandems_c,21107733246,,9001185,,PAUSED,0.0,0.0,0,nooit
